Agency No.,Agency Name,Agency Address,Agency City,Agency Zip Code,Agency Phone No.,Agency E-mail,Agency Contact,Date,Frequency,Day of Week,Morning Opening Hour,Morning Closing Hour,Afternoon Opening Hour,Afternoon Closing Hour,Comments
1666,New Covenant Tabernacle of Antelope Valley,38626 9th Street East,Palmdale,93550,661.965.4588,ccomeaux5@aol.com,Catherine Comeaux,,2nd & 4th,Saturday,9:00:00 AM,,,12:00:00 PM,
1674,Dae Hueng Presbyterian Church,15411 S. Figueroa Street,Gardena,90248,310.719.2244,anthonykim70@yahoo.com,Anthony Kim,,3rd,Saturday,9:00:00 AM,11:00:00 AM,,,
1675,Congregational Church of Chatsworth,20440 Lassen Street,Chatsworth,91311,818.882.3474,chatsworthucc@aol.com,JoEllen Murata,,,Saturday,,,4:00:00 PM,5:00:00 PM,
1677,Saint Mark Food Pantry,8305 S. Gramercy Place,Los Angeles,90047,323.753.3535,saintmarkumc@att.net,Rev. Eugenio Raphael,,1st & 3rd,Wednesday,11:00:00 AM,,,11:30:00 AM,
1684,Iglesia Evangelica Camino de Santidad,958 N. Maclay Ave,San Fernando,91340,818.898.3848,theresamccn@yahoo.com,Jose A Hernandez,,,Monday,,,7:00:00 PM,9:00:00 PM,
1690,First Missionary Baptist Church,37721 N. 100th Street East,Sun Villiage,93543,661.944.4128,sscott@livingstonecathedral.org,Cheryl Sledge,,2nd & 4th,Wednesday,11:00:00 AM,,,1:00:00 PM,
1691,Iglesia de la Comunidad Presbyterian Church,115 N. Ave 53,Los Angeles,90042,323.257.4352,"idlc.marthamaya@gmail.com, dulcemsaldana@gmail.com","Martha Maya, Dulce Saldana",,1st & 3rd,Thursday,10:30:00 AM,11:30:00 AM,,,
1692,Grace Evangelical Free Church of La Mirada,12717 Santa Gertrudes Avenue,La Mirada,90638,562.943.3791,heather.grossman@biola.edu,Elisha Daniels,,,Friday,,,4:00:00 PM,6:00:00 PM,
1693,Vallejo Drive S.D.A. Church,311-B Vallejo Drive,Glendale,91206,818.409.8056,eliasd1@ah.org,Diana Elias,,3rd,Thursday,,,12:00:00 PM,3:00:00 PM,
1694,Centro Palabra de Fe,107 W. Artesia Boulevard,Compton,90220,310-632-7337,"aruiz@palabra.org, artruiz@zoho.com",Art Ruiz,,2nd & Last,Saturday,,,8:30:00 PM,9:30:00 PM,
1696,Holy Trinity Church of God in Christ,9706 S. Broadway Boulevard,Los Angeles,90003,323.777.2965,rayjaguar12@yahoo.com,Raymond Washington,,,Saturday,,,12:00:00 PM,2:00:00 PM,
1701,Palmdale Community Foundation-S.A.V.E.S.,1002 East Avenue Q12,Palmdale,93550,661.267.5191,pmorales@cityofpalmdale.org,Patricia Morales,,,Monday,8:00:00 AM,,,5:00:00 PM,
1701,Palmdale Community Foundation-S.A.V.E.S.,1002 East Avenue Q12,Palmdale,93550,661.267.5191,pmorales@cityofpalmdale.org,Patricia Morales,,,Tuesday,8:00:00 AM,,,5:00:00 PM,
1701,Palmdale Community Foundation-S.A.V.E.S.,1002 East Avenue Q12,Palmdale,93550,661.267.5191,pmorales@cityofpalmdale.org,Patricia Morales,,,Wednesday,8:00:00 AM,,,5:00:00 PM,
1701,Palmdale Community Foundation-S.A.V.E.S.,1002 East Avenue Q12,Palmdale,93550,661.267.5191,pmorales@cityofpalmdale.org,Patricia Morales,,,Thursday,8:00:00 AM,,,5:00:00 PM,
1703,St. Gertrudes Conference,7025 Garfield Avenue,Bell Gardens,90201,562.927.4495 ,jorgemont2001@netzero.net,Sofia/Rosa,,2nd & 4th ,Friday,9:00:00 AM,10:00:00 AM,,,
1710,Living Hope Community Partnership,18500 Farjardo Street,Rowland Heights,91748,714.202.7333,livinghopecp@gmail.com,Sam Yeo,,1st & 3rd,Saturday,9:00:00 AM,11:00:00 AM,,,
1726,St. Ferdinand Church,1109 Coronel Street,San Fernando,91340,818.365.3194,g@hernandez5.com,Gabriel Hernandez,,2nd & 4th,Friday,9:00:00 AM,11:00:00 AM,,,
1727,St. Paul's Methodist Church,2600 Nelson Avenue,Redondo Beach,90278,310.370.4319,projectneedrb@gmail.com,Mary Bartel,,1st & 3rd,Thursday,9:00:00 AM,11:00:00 AM,,,
1728,Crenshaw Baptist Church,18749 Crenshaw Boulevard,Torrance,90504,310.323.2115,revkev57@yahoo.com,Kevin Leathers,,2nd,Wednesday,9:00:00 AM,1:00:00 AM,,,
1738,Apostolic Worship Epicenter,14579 Pacific Ave,Baldwin Park,91706,626.962.4500,awepastorette@hotmail.com,Dina Barbosa,,2nd & 4th,Friday,9:00:00 AM,11:00:00 AM,,,
1740,Evergreen Baptist Church of San Gabriel Valley,323 Workman Mill Road,La Puente,91746,626.363.0300,mgilmore@evergreensgv.org ,Michal Gilmore,,1st & 3rd,Friday,,,12:00:00 PM,3:00:00 PM,
1741,West Angeles Community Corporation,3045 South Crenshaw Boulevard,Los Angeles,90016,323.751.3440,kdownard@westangelescdc.org,Karen Downard,,,Monday,9:00:00 AM,,,1:00:00 PM,
1741,West Angeles Community Corporation,3045 South Crenshaw Boulevard,Los Angeles,90016,323.751.3440,kdownard@westangelescdc.org,Karen Downard,,,Tuesday,9:00:00 AM,,,1:00:00 PM,
1741,West Angeles Community Corporation,3045 South Crenshaw Boulevard,Los Angeles,90016,323.751.3440,kdownard@westangelescdc.org,Karen Downard,,,Wednesday,9:00:00 AM,,,1:00:00 PM,
1741,West Angeles Community Corporation,3045 South Crenshaw Boulevard,Los Angeles,90016,323.751.3440,kdownard@westangelescdc.org,Karen Downard,,,Thursday,9:00:00 AM,,,1:00:00 PM,
1742,Blood of Jesus Prayer and Deliverance Ministry,11001 S. Broadway,Los Angeles,90061,323.752.3048 ,toyeseoyeyemi@gmail.com,Ade Oyeyemi ,,,Wednesday,,,3:00:00 PM,4:00:00 PM,
1743,Coast Christian Fellowship,4000 Pacific Coast Highway,Torrance,90505,310.373.8573,Warrenhbroker@gmail.com,Warren Hughes,,,Monday,,,4:00:00 PM,6:00:00 PM,
1744,Rehoboth Courage Church,425 E. Compton Boulevard,Compton,90220,310.663.0789,rehobothcouragechurch@live.com,Pastor Adefemi Adegbesan,,,Saturday,11:00:00 AM,,,12:00:00 PM,
1748,Total Deliverance Church,45124 10th Street West,Lancaster,93535,661.951.9881,prz2god95@hotmail.com,Sabrina Walker,,2nd & 4th,Friday,11:00:00 AM,,,12:30:00 PM,
1758,City of Maywood,4319 E. Slauson Avenue,Maywood,90270,323.562.5755,aldo.perez@cityofmaywood.org,Aldo Perez,,4th,Thursday,,,1:00:00 PM,3:00:00 PM,
1759,Lynwood All People's First Assembly,4330 Martin Luther King Jr. Boulevard,Lynwood,90262,310.639.2010,encuentros777@yahoo.com,Marcos M. Freire,,,Friday,,,8:30:00 PM,9:30:00 PM,
1760,Lynwood United Methodist Church,4207 Carlin Avenue,Lynwood,90262,310.638.5163,"lynwoodumc@sbcglobal.net, eebatson@ca.rr.com",Elvia Batson,,,Wednesday,9:00:00 AM,,,12:00:00 PM,
1764,Principe de Paz,6706 Vinevale Avenue,Bell,90201,323.560.3780,anajjperez@yahoo.com,Ana Perez,,2nd & 4th,Thursday,11:00:00 AM,,,1:00:00 PM,
1765,Salvation Army- Lancaster Corp,44517 Sierra Highway,Lancaster,93534,661.948.3418,"hector.acosta@usw.salvationarmy.org, Leonardo.Faria@usw.salvationarmy.org",Hector Acosta,,4th ,Monday,,,12:00:00 PM,2:00:00 PM,
1765,Salvation Army- Lancaster Corp,44517 Sierra Highway,Lancaster,93534,661.948.3418,"hector.acosta@usw.salvationarmy.org, Leonardo.Faria@usw.salvationarmy.org",Hector Acosta,,Emergency,Wednesday,9:00:00 AM,10:30:00 AM,,,
1766,New Life Community Church,5009 W. 119th Street,Hawthorne,90250,310.676.6859,"info@yournewlifechurch.com, azmontijo1@gmail.com",Angel Montijo,,,Sunday,,,12:00:00 PM,1:30:00 PM,
1766,New Life Community Church,5009 W. 119th Street,Hawthorne,90250,310.676.6859,"info@yournewlifechurch.com, azmontijo1@gmail.com",Angel Montijo,,,Wednesday,,,2:00:00 PM,3:30:00 PM,
1767,Bell Gardens Church of Nazarene,6801 Jaboneria Road,Bell Gardens,90201,310.930.5623,baja0308lg@gmail.com,Luis Gonzalez,,,Friday,9:00:00 AM,11:00:00 AM,,,
1797,"Project 29:11, A Community Development Corporation",418 N. Second Avenue,Covina,91723,626.373.2976,gtroxye@aol.com,Maureen Hinds,,,Tuesday,,,2:00:00 PM,5:30:00 PM,
1797,"Project 29:11, A Community Development Corporation",418 N. Second Avenue,Covina,91723,626.373.2976,gtroxye@aol.com,Maureen Hinds,,,Wednesday,,,2:00:00 PM,4:00:00 PM,
1797,"Project 29:11, A Community Development Corporation",418 N. Second Avenue,Covina,91723,626.373.2976,gtroxye@aol.com,Maureen Hinds,,,Thursday,,,2:00:00 PM,5:30:00 PM,
1797,"Project 29:11, A Community Development Corporation",418 N. Second Avenue,Covina,91723,626.373.2976,gtroxye@aol.com,Maureen Hinds,,,Friday,,,2:00:00 PM,4:00:00 PM,
1799,St. Luke Catholic Community,9451 Broadway,Temple City,91780,626.291.5900,eddiej83@yahoo.com,Ed Jensen,12/18/2015,,Friday,,,1:00:00 PM,2:00:00 PM,
1801,Norwalk Church of the Nazarene,15000 Studebaker Road,Norwalk,90650,562.863.0911,gisela_de8a@hotmail.com,Pastor Arthur Mckibben,,,Wednesday,,,5:00:00 PM,7:00:00 PM,
1803,La Voz Sylmar S.D.A. Church,13550 Herron Street,Sylmar,91342,951.318.4420,sar_can@hotmail.com,Pastor Saul Aispuro,,,Thursday,,,6:30:00 PM,8:30:00 PM,
1804,Iglesia del Nazareno Elysian Park,2750 Marsh Street,Los Angeles,90039,909.649.5337,nereydacastillejos@gmail.com,Nereyda Castillejos,,1st & 3rd,Wednesday,,,4:00:00 PM,6:30:00 PM,
1805,San Gabriel Mission,428 South Mission Drive,San Gabriel,91776,626.457.3035,guidoz18@gmail.com,Guido Zamalloa,,,Sunday,8:00:00 AM,10:00:00 AM,,,
1806,Lifeline Community Services & Economic Development,2556 N. Lake Avenue,Altadena,91001,626.797.3585,lfccfoodprogram@yahoo.com,Leslie Fowler,,2nd & 4th,Wednesday,,,12:00:00 PM,2:00:00 PM,
1807,Long Beach Lutheran Social Services,1611 Pine Avenue,Long Beach,90813,562.599.1321,GBell@lsscommunitycare.org,George Bell,,,Monday,10:00:00 AM,12:00:00 PM,12:30:00 PM,2:00:00 PM,
1807,Long Beach Lutheran Social Services,1611 Pine Avenue,Long Beach,90813,562.599.1321,GBell@lsscommunitycare.org,George Bell,,,Tuesday,10:00:00 AM,12:00:00 PM,12:30:00 PM,2:00:00 PM,
1807,Long Beach Lutheran Social Services,1611 Pine Avenue,Long Beach,90813,562.599.1321,GBell@lsscommunitycare.org,George Bell,,,Wednesday,11:00:00 AM,12:00:00 PM,12:30:00 PM,2:00:00 PM,
1807,Long Beach Lutheran Social Services,1611 Pine Avenue,Long Beach,90813,562.599.1321,GBell@lsscommunitycare.org,George Bell,,,Thursday,10:00:00 AM,12:00:00 PM,12:30:00 PM,2:00:00 PM,
1808,Iglesia Piedra Angular,2110 W. Francisquito Avenue,West Covina,91790,626.833.8141,callahernandez@gmail.com,Claudia Hernandez,,,Thursday,,,7:30:00 PM,8:15:00 PM,
1842,S.V.P. All Souls Conference,1500 W. Main Street,Alhambra,91803,626.281.0466,palmaraz@allsouls-la.org,Patricia Almaraz,,3rd,Thursday,,,3:30:00 PM,5:30:00 PM,
1843,Salvation Army Santa Clarita Valley Corps,22935 Lyons Avenue,Newhall,91321,661.799.7486,laura.bloom@usw.salvationarmy.org,Laura Bloom,,,Monday,9:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
1843,Salvation Army Santa Clarita Valley Corps,22935 Lyons Avenue,Newhall,91321,661.799.7486,laura.bloom@usw.salvationarmy.org,Laura Bloom,,,Wednesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
1843,Salvation Army Santa Clarita Valley Corps,22935 Lyons Avenue,Newhall,91321,661.799.7486,laura.bloom@usw.salvationarmy.org,Laura Bloom,,,Thursday,9:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
1843,Salvation Army Santa Clarita Valley Corps,22935 Lyons Avenue,Newhall,91321,661.799.7486,laura.bloom@usw.salvationarmy.org,Laura Bloom,,,Friday,9:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,
1846,Centro Cristiano Manantial de vida ,10035 Washington Street,Bellflower,90706,562.481.1642,jorgesal07@hotmail.com,Jorge Salazar,,,Monday,,,6:30:00 PM,8:30:00 PM,
1848,Iglesia Un Renuevo ,13216 Fairford Ave.,Norwalk,90650,562.743.4611,iglesiaunrenuevo@yahoo.com,Lourdes Batres,,3rd ,Friday,,,3:00:00 PM,8:00:00 PM,
1849,Centro Cristiano Las Buenas Nuevas,11910 Alondra Blvd.,Norwalk,90650,562.237.3114,community@lasbuenasnuevas.org,Romelia Vasquez,,3rd ,Saturday,11:30:00 AM,,,1:00:00 PM,3rd Saturday
1850,Valley Crossroads S.D.A. Church ,11350 Glenoaks Blvd.,Pacoima,91331,818.896.4488,dimples3jenkins@yahoo.com,Sherry Jenkins,,2nd & 4th,Saturday,,,2:30:00 PM,4:00:00 PM,
1851,Pico Rivera Iglesia Crece ,14832 Valley Blvd.,La Puente ,91744,562.895.4587,atpastorgg@aol.com,Gerardo Goyenasa,,,Saturday,8:30:00 AM,10:30:00 AM,,,
1852,Khalsa Care Foundation ,9989 Laurel Canyon Blvd.,Pacoima,91331,805.402.5050,sukhissandhu@yahoo.com,Suhki Sandhu ,,,Friday,,,6:00:00 PM,7:00:00 PM,
1853,Antelope Valley Boys & Girls Club ,815 E. Avenue Q6,Palmdale,93550,661.267.2582,scantwell@avbgc.org ,Stacey Cantwell,,,Friday,,,12:00:00 PM,1:00:00 PM,
1854,Hollywood Lutheran Church ,1733 N. New Hampshire Ave.,Hollywood,90027,323.667.1212,hollyluth@sbcglobal.net,Elizabeth Perron,,,Wednesday,11:00:00 AM,,,12:30:00 PM,
1855,Servants Arms Community Based Organization,1720 N. Walnut Avenue,La Puente,91744,626.918.3227,rtimothy25@aol.com,Timothy Robinson,,,Tuesday,,,3:00:00 PM,6:00:00 PM,
1855,Servants Arms Community Based Organization,1720 N. Walnut Avenue,La Puente,91744,626.918.3227,rtimothy25@aol.com,Timothy Robinson,,,Thursday,,,3:00:00 PM,6:00:00 PM,
1856,New Life Community Church,275 E. Foothill Boulevard,Pomona,91767,909.593.7070,zaalkiezar@yahoo.com,Zamar/ Anna Alkiezar,,,Friday,,,4:00:00 PM,5:30:00 PM,
1857,Vermont Avenue Baptist Church ,23325 S. Vermont Ave.,Torrance,90502,310.530.0533,vabc2013@yahoo.com,Teresa Billings ,,3rd,Saturday,10:00:00 AM,1:00:00 PM,,,
1858,Resting Place Church ,10803 Cantara St.,Sun Valley,91352,818.588.1024,contactoiglesiaeldescanso@yahoo.com,Mario Solano ,,,Wednesday,10:00:00 AM,1:00:00 PM,,,
1862,Jesus is the Answer Apostolic Church,"25100 S. Normandie Ave, Suite A",Harbor City,90710,310.667.0147,elbert.woodson@yahoo.com,Elbert Woodson,,3rd,Wednesday,,,12:00:00 PM,4:00:00 PM,
1868,Ministereo Gloria de Scion ,10201 San Carlos Ave,South Gate,90280,323.564.9016,oscarsebastian@sbcglobal.net,Oscar Sebastian,,2nd and 4th,Wednesday,,,6:00:00 PM,7:00:00 PM,
1869,Cerritos Baptist Church ,11947 Del Amo Blvd.,Cerritos,90703,562.860.1720,,Brian Luna,,1st ,Saturday,7:00:00 AM,9:00:00 AM,,,
4017,United African Church,1745 W. 55th Street,Los Angeles,90062,323.766.0001 ,imeattah@yahoo.com ,Asuquo Attah,12/6/2015,,Sunday,,,1:00:00 AM,2:00:00 AM,
4017,United African Church,1745 W. 55th Street,Los Angeles,90062,323.766.0001 ,imeattah@yahoo.com ,Asuquo Attah,12/20/2015,,Sunday,,,1:00:00 AM,2:00:00 AM,
4037,Inglewood Church of Christ,323 S. Eucalyptus Ave.,Inglewood,90301,310.674.7690,douloskog@yahoo.com,Kenneth Goss,,3rd,Friday,10:00:00 AM,,,12:00:00 PM,
4108,Christ Centered Ministries Church,742 N. La Brea Avenue,Inglewood,90302,310.676.1499,troyccm@sbcglobal.net,Troy Vaughn,,3rd,Saturday,10:00:00 AM,,,12:30:00 PM,
4303,St. Francis Center,830 Green Ave,Los Angeles,90017,213.747.5347,"jramirez@sfcla.org, faye@sfcla.org",Jose Ramirez,,,Friday,,,2:30:00 PM,4:00:00 PM,
5004,New Life Community Church,275 E. Foothill Blvd,Pomona,91767,909.593.7070,anna_alkiezar@yahoo.com,Anna Alkiezar,,,Friday,,,4:00:00 PM,5:30:00 PM,
5006,East San Gabriel Valley Coalition For the Homeless,1345 Turnbull Canyon Blvd.,Hacienda Heights,91745,626.333.726,esgvch@aol.com,Marta Garcia-Lue,,,Monday,8:30:00 AM,,,1:30:00 PM,
5006,East San Gabriel Valley Coalition For the Homeless,1345 Turnbull Canyon Blvd.,Hacienda Heights,91745,626.333.726,esgvch@aol.com,Marta Garcia-Lue,,,Tuesday,8:30:00 AM,,,1:30:00 PM,
5006,East San Gabriel Valley Coalition For the Homeless,1345 Turnbull Canyon Blvd.,Hacienda Heights,91745,626.333.726,esgvch@aol.com,Marta Garcia-Lue,,,Wednesday,8:30:00 AM,,,1:30:00 PM,
5006,East San Gabriel Valley Coalition For the Homeless,1345 Turnbull Canyon Blvd.,Hacienda Heights,91745,626.333.726,esgvch@aol.com,Marta Garcia-Lue,,,Thursday,8:30:00 AM,,,1:30:00 PM,
5006,East San Gabriel Valley Coalition For the Homeless,1345 Turnbull Canyon Blvd.,Hacienda Heights,91745,626.333.726,esgvch@aol.com,Marta Garcia-Lue,,,Friday,8:30:00 AM,,,1:30:00 PM,
5008,Church of God,4161 Baldwin Park Blvd,Baldwin Park,91706,626.968.6716,praniukelias@yahoo.com,Elias Pranick,,,Sunday,9:00:00 AM,,,12:00:00 PM,
5008,Church of God,4161 Baldwin Park Blvd,Baldwin Park,91706,626.968.6716,praniukelias@yahoo.com,Elias Pranick,,,Wednesday,,,7:00:00 PM,9:00:00 PM,
5010,Trinity Pantry Ministry,1450 West 7th Street,San Pedro,90732,310.742.3279,tlc@trinitysanpedro.org,Edwin Kise,,,Sunday,9:30:00 AM,10:50:00 AM,1:00:00 PM,3:00:00 PM,
5010,Trinity Pantry Ministry,1450 West 7th Street,San Pedro,90732,310.742.3279,tlc@trinitysanpedro.org,Edwin Kise,,,Friday,9:30:00 AM,10:50:00 AM,1:00:00 PM,3:00:00 PM,
5010,Trinity Pantry Ministry,1450 West 7th Street,San Pedro,90732,310.742.3279,tlc@trinitysanpedro.org,Edwin Kise,,,Saturday,9:30:00 AM,10:50:00 AM,1:00:00 PM,3:00:00 PM,
5012,Bread of Life Community Outreach,628 South Street,Long Beach,90805,562.428.5422,breadoflife77@ymail.com & doodoo22u@verizon.net,Sally Atkinson & Gail Sewright,,2nd,Wednesday,10:30:00 AM,11:30:00 AM,,,
5013,"Helping Hands, Caring Hearts Ministry",1750 W. Holt Avenue,Pomona,91768,909.620.1601,ddolgovin@yahoo.com,Donna Dolgovin,,,Sunday,,,4:30:00 PM,5:30:00 PM,
5015,Missionaries of Charity,10950 California Avenue,Lynwood,90262,310.635.3264,stemydius@hotmail.com,Sis. M. Janet,,,Friday,,,3:00:00 PM,5:00:00 PM,
5018,St. Peter and Paul Poverty Program,943 Lagoon Avenue,Wilmington,90744,310.952.0144,sppc@sbcglobal.net,Sis. Adriana Ga'cikova',,,Monday,9:00:00 AM,11:00:00 AM,,,
5018,St. Peter and Paul Poverty Program,943 Lagoon Avenue,Wilmington,90744,310.952.0144,sppc@sbcglobal.net,Sis. Adriana Ga'cikova',,,Tuesday,9:00:00 AM,11:00:00 AM,,,
5018,St. Peter and Paul Poverty Program,943 Lagoon Avenue,Wilmington,90744,310.952.0144,sppc@sbcglobal.net,Sis. Adriana Ga'cikova',,,Thursday,9:00:00 AM,11:00:00 AM,,,
5020,Catholic Rainbow Outreach,11419 Carmenita Road,Whittier,90605,562.556.4449,catholicrainbowoutreachoffice@gmail.com,Justin Read,,,Monday,,,3:00:00 PM,4:00:00 PM,
5020,Catholic Rainbow Outreach,11419 Carmenita Road,Whittier,90605,562.556.4449,catholicrainbowoutreachoffice@gmail.com,Justin Read,,,Tuesday,,,3:00:00 PM,4:00:00 PM,
5020,Catholic Rainbow Outreach,11419 Carmenita Road,Whittier,90605,562.556.4449,catholicrainbowoutreachoffice@gmail.com,Justin Read,,,Wednesday,,,3:00:00 PM,4:00:00 PM,
5020,Catholic Rainbow Outreach,11419 Carmenita Road,Whittier,90605,562.556.4449,catholicrainbowoutreachoffice@gmail.com,Justin Read,,,Friday,,,3:00:00 PM,4:00:00 PM,
5020,Catholic Rainbow Outreach,11419 Carmenita Road,Whittier,90605,562.556.4449,catholicrainbowoutreachoffice@gmail.com,Justin Read,,,Saturday,,,3:00:00 PM,4:00:00 PM,
5021,Dos Testamentos En El Desierto,9845 E Palmdale Boulevard,Palmdale,93591,661.433.1186,hart_2love@yahoo.com,Julieta Huizar,,,Wednesday,,,7:30:00 PM,8:30:00 PM,
5021,Dos Testamentos En El Desierto,9845 E Palmdale Boulevard,Palmdale,93591,661.433.1186,hart_2love@yahoo.com,Julieta Huizar,,,Saturday,8:15:00 AM,10:30:00 AM,,,
5022,RCCG Victory House of California,6640 Van Nuys Blvd.,Van Nuys,91411,323.385.4442,bonje682002@yahoo.com,Boljai Adeduro,,,Sunday,,,12:30:00 PM,2:00:00 PM,
5022,RCCG Victory House of California,6640 Van Nuys Blvd.,Van Nuys,91411,323.385.4442,bonje682002@yahoo.com,Boljai Adeduro,,,Tuesday,10:30:00 AM,,,12:30:00 PM,
5023,New Region For Christ,520 S. La Brea Ave,Inglewood,90301,424.227.8657,newregionforchrist1@gmail.com,LaFrance Simpson,,,Saturday,11:30:00 AM,,,1:00:00 PM,
5024,Iglesia Macedonia Defenders of the Christian Faith,9228 S. Central Avenue,Los Angeles,90002,323.804.6615,ccmontufar@att.net,Cludia C. Montufar,,,Tuesday,,,7:00:00 PM,8:00:00 PM,
5025,"Abundance For All, Inc.","6310 Howard B Drollinger Way, Suite 216",Westchester,90045,424.243.7181,msmelissamills@aol.com,Martins Nwaege,,,Thursday,,,1:00:00 PM,6:00:00 PM,
5025,"Abundance For All, Inc.","6310 Howard B Drollinger Way, Suite 216",Westchester,90045,424.243.7181,msmelissamills@aol.com,Martins Nwaege,,,Friday,10:00:00 AM,,,6:00:00 PM,
5025,"Abundance For All, Inc.","6310 Howard B Drollinger Way, Suite 216",Westchester,90045,424.243.7181,msmelissamills@aol.com,Martins Nwaege,,,Saturday,10:00:00 AM,,,1:00:00 PM,
5027,Redeemer Missionary Baptist Church,1631 W. Adams Boulevard,Los Angeles,90007,323.732.4124,ladypat@redeemermbc.org - suityourself22@msn.com,Patricia Monroe,,Bi-Weekly,Saturday,10:00:00 AM,,,1:00:00 PM,
5029,Next Dimensions Ministries Church,"132 East Avenve I, Suite 101",Lancaster,93535,661.940.8289,nextdimensionministries3@gmail.com,Geneva Strickland,,2nd and 4th ,Friday,11:30:00 AM,,,1:30:00 PM,
5030,St. Helen Church,9314 Madison Avenue,South Gate,90280,323.563.3522,mines@sthelencc.org,Maria Lines,,4th,Saturday,8:00:00 AM,10:00:00 AM,,,
5031,United Gospel Outreach,7223 S. Main Street,Los Angeles,90003,323.758.1213,kenya@ugoutreach.org,Kenya Curtiss,,,Friday,1:00:00 PM,,,3:00:00 PM,
5032,Salvation Army Redondo Beach,125 W. Beryl Street,Redondo Beach,90277,310.318.2827,athena.marano@usw.salvationarmy.org,Athena Marano,,,Monday,9:00:00 AM,11:00:00 AM,,,
5032,Salvation Army Redondo Beach,125 W. Beryl Street,Redondo Beach,90277,310.318.2827,athena.marano@usw.salvationarmy.org,Athena Marano,,,Tuesday,9:00:00 AM,11:00:00 AM,,,
5032,Salvation Army Redondo Beach,125 W. Beryl Street,Redondo Beach,90277,310.318.2827,athena.marano@usw.salvationarmy.org,Athena Marano,,,Wednesday,9:00:00 AM,11:00:00 AM,,,
5032,Salvation Army Redondo Beach,125 W. Beryl Street,Redondo Beach,90277,310.318.2827,athena.marano@usw.salvationarmy.org,Athena Marano,,,Thursday,9:00:00 AM,11:00:00 AM,,,
5032,Salvation Army Redondo Beach,125 W. Beryl Street,Redondo Beach,90277,310.318.2827,athena.marano@usw.salvationarmy.org,Athena Marano,,,Friday,9:00:00 AM,11:00:00 AM,,,
5033,The Bible Tabernacle,16301 Sierra Highway,Santa Clarita,91351,661.252.5087,thebibletabernacle@hotmail.com,Wesley Russell,,,Sunday,,,12:30:00 PM,5:00:00 PM,
5033,The Bible Tabernacle,16301 Sierra Highway,Santa Clarita,91351,661.252.5087,thebibletabernacle@hotmail.com,Wesley Russell,,,Monday,9:00:00 AM,12:00:00 PM,1:00:00 PM,5:00:00 PM,
5033,The Bible Tabernacle,16301 Sierra Highway,Santa Clarita,91351,661.252.5087,thebibletabernacle@hotmail.com,Wesley Russell,,,Tuesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,5:00:00 PM,
5033,The Bible Tabernacle,16301 Sierra Highway,Santa Clarita,91351,661.252.5087,thebibletabernacle@hotmail.com,Wesley Russell,,,Wednesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,5:00:00 PM,
5033,The Bible Tabernacle,16301 Sierra Highway,Santa Clarita,91351,661.252.5087,thebibletabernacle@hotmail.com,Wesley Russell,,,Thursday,9:00:00 AM,12:00:00 PM,1:00:00 PM,5:00:00 PM,
5033,The Bible Tabernacle,16301 Sierra Highway,Santa Clarita,91351,661.252.5087,thebibletabernacle@hotmail.com,Wesley Russell,,,Friday,9:00:00 AM,12:00:00 PM,1:00:00 PM,5:00:00 PM,
5033,The Bible Tabernacle,16301 Sierra Highway,Santa Clarita,91351,661.252.5087,thebibletabernacle@hotmail.com,Wesley Russell,,,Saturday,9:00:00 AM,12:00:00 PM,1:00:00 PM,5:00:00 PM,
5034,"Cathloic Charities of Los Angeles, Inc.",123 East 14th Street,Long Beach,90813,562.591.1641,"bhackman@ccharities.org, Csalazar@ccharities.org",Carlos Salzar,,,Tuesday,9:30:00 AM,12:00:00 PM,1:30:00 PM,3:00:00 PM,
5034,"Cathloic Charities of Los Angeles, Inc.",123 East 14th Street,Long Beach,90813,562.591.1641,"bhackman@ccharities.org, Csalazar@ccharities.org",Carlos Salzar,,,Thursday,9:30:00 AM,12:00:00 PM,1:30:00 PM,3:00:00 PM,
5035,Harbor Christian Center,1602 N. Wilmington Blvd,Wilmington,90744,310.835.5661,jrimia2911@aol.com,Linda Myers,,1st & 3rd,Wednesday,,,6:00:00 PM,7:30:00 PM,
5038,St. Paul of the Cross Church,14020 Foster Road,La Mirada,90638,562.921.2914,,Ave Muzzicato,,,Tuesday,11:00:00 AM,,,12:00:00 PM,
6004,Bethel AME Church- Richard Allen Center,7919 S.  Western Avenue,Los Angeles,90047,323.750.3240,srp9431@msn.com,Ray May/ Stanley Pinkney,,,Wednesday,7:30:00 AM,11:30:00 AM,,,
6005,Paramount Care Foundation,8303 Alondra Boulevard,Paramount,90723,562.531.6820 ,mike.mckown@erc.la,Mike McKown,,No 5th Friday,Friday,9:00:00 AM,10:00:00 AM,,,
6011,Another Chance Outreach Ministry,456 W. Compton Blvd,Compton,90220,310.669.9469,revrickacom@sbcglobal.net,Rev. Rickey Hammond,,2nd & 4th,Saturday,8:00:00 AM,10:00:00 AM,,,
